currency,pathway,quarter,p05,p10,p25,p50,p75,p90,p95
CNY,accretion,2033Q1,0.828747109964298,1.246520369079448,1.9782080093795031,2.807667788413863,3.6472261023949777,4.373527321708578,4.846064085823646
CNY,accretion,2033Q2,0.7953879941483046,1.224757202010333,1.9839487957556736,2.8326864870655877,3.70444276709625,4.4529895638687504,4.937306992344542
CNY,accretion,2033Q3,0.7605893149993522,1.2068757459201633,1.9793694501991745,2.8641882160192744,3.7577976791198062,4.540156037654496,5.031653750146419
CNY,accretion,2033Q4,0.7200441107048109,1.1858482748251953,1.9786622371770886,2.903212008356058,3.818406396475164,4.620757874991092,5.117257961636399
CNY,accretion,2034Q1,0.6782921607606536,1.1635131560907301,1.9844852722198012,2.9386187683105147,3.8733945939870877,4.708637138792793,5.210715486852756
CNY,accretion,2034Q2,0.6448134415889074,1.1364330663204019,1.992773660992634,2.967444705922283,3.918846471478162,4.784692342196137,5.280149366184696
CNY,accretion,2034Q3,0.605562990848502,1.1254967313439204,2.0007712833778903,2.992774588771767,3.9789655447314947,4.856659497274538,5.3853498364103025
CNY,accretion,2034Q4,0.5644322503374506,1.101764778964943,1.9944006730618205,3.026959265663713,4.026913789591103,4.93963803676724,5.478246491229637
CNY,accretion,2035Q1,0.5389622752991038,1.078042611850842,2.0012990988253905,3.0570707847245444,4.088920941078695,5.017962487644014,5.5740538150508945
CNY,accretion,2035Q2,0.5029772135843527,1.0590410832015544,2.00419180007223,3.0810253069726494,4.145210918335838,5.093440555128215,5.650846728154717
CNY,accretion,2035Q3,0.45522619800325553,1.039677094896419,1.9944056447764056,3.1225399479502816,4.2063478457969214,5.1752539561413755,5.73583129194363
CNY,accretion,2035Q4,0.41758084750381297,1.0199710023722492,2.0027693729119833,3.1546790032299414,4.258119368006145,5.259845059348865,5.83588987811121
CNY,retrenchment,2026Q2,1.8111237110944136,1.8558104289510633,1.9286147359571735,1.997833886357734,2.064554408663409,2.1398259772846373,2.1997755258396063
CNY,retrenchment,2026Q3,1.7326504800925089,1.793506385003247,1.8983236713337357,2.012494064092804,2.1312835091851423,2.2562807288346187,2.360953025461909
CNY,retrenchment,2026Q4,1.6579479779716597,1.739709668030341,1.8738056567337391,2.029640046193883,2.1924600337701814,2.3578952880923243,2.4629336911322444
CNY,retrenchment,2027Q1,1.5886621818061564,1.6878574604174041,1.8500132524500532,2.0499032015372043,2.2487238819749513,2.4397528180757813,2.560551813296611
CNY,retrenchment,2027Q2,1.512462817521626,1.6375799587477475,1.8328246847993792,2.069114957616746,2.301952194474855,2.5270680281389333,2.6692103998386907
CNY,retrenchment,2027Q3,1.4519910548989474,1.58325484328985,1.8140315042904454,2.0844015433373095,2.351918777315827,2.6137638822178775,2.7787508902668527
CNY,retrenchment,2027Q4,1.3809858839770877,1.5390924290769208,1.8033467274845858,2.1036072722178876,2.409198317910297,2.6931632456952914,2.8877725158512932
