ally,year,pct_gdp,estimate,source
Poland,2016,1.99,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Poland,2017,1.88,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Poland,2018,2.0,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Poland,2019,1.96,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Poland,2020,2.21,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Poland,2021,2.19,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Poland,2022,2.21,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Poland,2023,3.26,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Poland,2024,3.75,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Poland,2025,4.25,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Poland,2026,4.68,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Portugal,2014,1.31,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Portugal,2015,1.33,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Portugal,2016,1.27,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
