ccy,measure,quarter,value,date,source
AUD,share_pct,2024-Q3,2.23912620544434,2024-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CAD,claims_usd_m,2024-Q3,351240.456703259,2024-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CAD,share_pct,2024-Q3,2.75981760025024,2024-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CHF,claims_usd_m,2024-Q3,25140.2948581934,2024-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CHF,share_pct,2024-Q3,0.19753597676754,2024-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CNY,claims_usd_m,2024-Q3,269410.068687974,2024-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CNY,share_pct,2024-Q3,2.11684799194336,2024-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
EUR,claims_usd_m,2024-Q3,2437412.25191245,2024-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
EUR,share_pct,2024-Q3,19.15159034729,2024-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
GBP,claims_usd_m,2024-Q3,617878.624285082,2024-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
GBP,share_pct,2024-Q3,4.85488557815552,2024-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
JPY,claims_usd_m,2024-Q3,719413.874310835,2024-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
JPY,share_pct,2024-Q3,5.65268325805664,2024-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
OTHER,claims_usd_m,2024-Q3,659683.560130403,2024-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
OTHER,share_pct,2024-Q3,5.18336153030396,2024-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
TOTAL,claims_usd_m,2024-Q3,12726944.9202814,2024-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
TOTAL,share_pct,2024-Q3,100.0,2024-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
USD,claims_usd_m,2024-Q3,7361793.41681141,2024-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
USD,share_pct,2024-Q3,57.8441505432129,2024-09-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
AUD,claims_usd_m,2024-Q4,251065.325486428,2024-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
AUD,share_pct,2024-Q4,2.0361864566803,2024-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CAD,claims_usd_m,2024-Q4,350581.092403093,2024-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CAD,share_pct,2024-Q4,2.8432776927948,2024-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CHF,claims_usd_m,2024-Q4,27033.9206092146,2024-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CHF,share_pct,2024-Q4,0.219250112771988,2024-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CNY,claims_usd_m,2024-Q4,254643.469471343,2024-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CNY,share_pct,2024-Q4,2.06520581245422,2024-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
EUR,claims_usd_m,2024-Q4,2331670.99954263,2024-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
EUR,share_pct,2024-Q4,18.9102840423584,2024-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
GBP,claims_usd_m,2024-Q4,566897.420198302,2024-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
GBP,share_pct,2024-Q4,4.59764337539673,2024-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
JPY,claims_usd_m,2024-Q4,695458.253090187,2024-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
JPY,share_pct,2024-Q4,5.64029550552368,2024-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
OTHER,claims_usd_m,2024-Q4,650986.466069034,2024-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
OTHER,share_pct,2024-Q4,5.27962112426758,2024-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
TOTAL,claims_usd_m,2024-Q4,12330174.0888089,2024-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
TOTAL,share_pct,2024-Q4,100.0,2024-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
USD,claims_usd_m,2024-Q4,7201837.14193864,2024-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
USD,share_pct,2024-Q4,58.4082374572754,2024-12-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
AUD,claims_usd_m,2025-Q1,249165.028743802,2025-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
AUD,share_pct,2025-Q1,1.99325788021088,2025-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CAD,claims_usd_m,2025-Q1,329658.732207748,2025-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CAD,share_pct,2025-Q1,2.63718724250794,2025-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CHF,claims_usd_m,2025-Q1,28467.6995223473,2025-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CHF,share_pct,2025-Q1,0.227734461426735,2025-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CNY,claims_usd_m,2025-Q1,245529.673807255,2025-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CNY,share_pct,2025-Q1,1.96417593955994,2025-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
EUR,claims_usd_m,2025-Q1,2388699.98085024,2025-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
EUR,share_pct,2025-Q1,19.109001159668,2025-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
GBP,claims_usd_m,2025-Q1,576346.442826503,2025-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
GBP,share_pct,2025-Q1,4.61062717437744,2025-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
JPY,claims_usd_m,2025-Q1,720165.493228881,2025-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
JPY,share_pct,2025-Q1,5.76114368438721,2025-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
OTHER,claims_usd_m,2025-Q1,664139.575233857,2025-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
OTHER,share_pct,2025-Q1,5.31295013427734,2025-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
TOTAL,claims_usd_m,2025-Q1,12500391.2292505,2025-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
TOTAL,share_pct,2025-Q1,100.0,2025-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
USD,claims_usd_m,2025-Q1,7298218.60282981,2025-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
USD,share_pct,2025-Q1,58.3839225769043,2025-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
AUD,claims_usd_m,2025-Q2,266590.403451264,2025-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
AUD,share_pct,2025-Q2,2.06003737449646,2025-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CAD,claims_usd_m,2025-Q2,340572.594385406,2025-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CAD,share_pct,2025-Q2,2.63172364234924,2025-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CHF,claims_usd_m,2025-Q2,28149.8407362446,2025-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CHF,share_pct,2025-Q2,0.21752367913723,2025-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CNY,claims_usd_m,2025-Q2,255893.826465059,2025-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CNY,share_pct,2025-Q2,1.97738122940064,2025-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
EUR,claims_usd_m,2025-Q2,2622459.71693511,2025-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
EUR,share_pct,2025-Q2,20.2646656036377,2025-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
GBP,claims_usd_m,2025-Q2,610240.025035435,2025-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
GBP,share_pct,2025-Q2,4.7155385017395,2025-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
